SLC38A11	DMR48 (+48)
SLC43A3	DMR93 (+2252)
SLIT1	DMR92 (+201162)
SLITRK6	DMR128 (-221000)
SMIM1	DMR117 (-1251)
SNTG2	DMR46 (-234357)
SOCS5	DMR47 (+113707)
SPP2	DMR58 (+121103)
SPRY4	DMR19 (-361330)
SPTAN1	DMR64 (-29017)
STAB2	DMR73 (-239)
STK24	DMR24 (+38605)
STOX2	DMR50 (+82324)
STX17	DMR116 (-81180)
SYT3	DMR26 (-24178)
TCEA3	DMR89 (-11903)
TMEM121	DMR99 (+383855)
TMEM161B	DMR85 (+123076)
TMEM18	DMR46 (-39072)
TMPRSS12	DMR43 (-367)
TNFRSF10B	DMR115 (+19049)
TNS3	DMR112 (+41544)
TRIM27	DMR10 (+62406), DMR3 (+290400)
TRIM31	DMR4 (+1593)
TSPAN32	DMR2 (-1193)
TYK2	DMR35 (+27081)
UTS2B	DMR9 (-472)
VARS	DMR142 (+1137)
VWA3A	DMR77 (-137)
VWA7	DMR142 (-17522)
WFIKKN2	DMR6 (-256)
WT1	DMR5 (+4697)
YIPF1	DMR119 (-576)
ZADH2	DMR25 (+83570)
ZBED9	DMR10 (-274248), DMR3 (-46254)
ZFP42	DMR107 (-871333)
ZMYND11	DMR69 (+109320)
ZNF407	DMR25 (+494758)
ZNF479	DMR113 (+601873)
ZNF695	DMR91 (-292)
ZNF727	DMR11 (+194)
ZNRD1	DMR86 (-210759)

