,SampleID,Tissue,Factor,Condition,bamReads,ControlID,bamControl,PeakCaller,Peaks
17,diff_20_SR_RA_vs_28_AF_LA_c2.0_cond2.bed,diff_20_SR_RA_vs_28_AF_LA_c2.0_cond2.bed,H3K27ac,diff_20_SR_RA_vs_28_AF_LA_c2.0_cond2.bed,NA,diff_20_SR_RA_vs_28_AF_LA_c2.0_cond2.bed,NA,bed,diff_20_SR_RA_vs_28_AF_LA_c2.0_cond2.bed
18,diff_20_SR_RA_vs_31_AF_LA_c2.0_cond2.bed,diff_20_SR_RA_vs_31_AF_LA_c2.0_cond2.bed,H3K27ac,diff_20_SR_RA_vs_31_AF_LA_c2.0_cond2.bed,NA,diff_20_SR_RA_vs_31_AF_LA_c2.0_cond2.bed,NA,bed,diff_20_SR_RA_vs_31_AF_LA_c2.0_cond2.bed
19,diff_20_SR_RA_vs_313_AF_LA_c2.0_cond2.bed,diff_20_SR_RA_vs_313_AF_LA_c2.0_cond2.bed,H3K27ac,diff_20_SR_RA_vs_313_AF_LA_c2.0_cond2.bed,NA,diff_20_SR_RA_vs_313_AF_LA_c2.0_cond2.bed,NA,bed,diff_20_SR_RA_vs_313_AF_LA_c2.0_cond2.bed
20,diff_20_SR_RA_vs_47_AF_LA_c2.0_cond2.bed,diff_20_SR_RA_vs_47_AF_LA_c2.0_cond2.bed,H3K27ac,diff_20_SR_RA_vs_47_AF_LA_c2.0_cond2.bed,NA,diff_20_SR_RA_vs_47_AF_LA_c2.0_cond2.bed,NA,bed,diff_20_SR_RA_vs_47_AF_LA_c2.0_cond2.bed
21,diff_2231_AF_LA_vs_12b_SR_LA_c2.0_cond1.bed,diff_2231_AF_LA_vs_12b_SR_LA_c2.0_cond1.bed,H3K27ac,diff_2231_AF_LA_vs_12b_SR_LA_c2.0_cond1.bed,NA,diff_2231_AF_LA_vs_12b_SR_LA_c2.0_cond1.bed,NA,bed,diff_2231_AF_LA_vs_12b_SR_LA_c2.0_cond1.bed
22,diff_2231_AF_LA_vs_20_SR_LA_c2.0_cond1.bed,diff_2231_AF_LA_vs_20_SR_LA_c2.0_cond1.bed,H3K27ac,diff_2231_AF_LA_vs_20_SR_LA_c2.0_cond1.bed,NA,diff_2231_AF_LA_vs_20_SR_LA_c2.0_cond1.bed,NA,bed,diff_2231_AF_LA_vs_20_SR_LA_c2.0_cond1.bed
23,diff_2231_AF_LA_vs_27_SR_LA_c2.0_cond1.bed,diff_2231_AF_LA_vs_27_SR_LA_c2.0_cond1.bed,H3K27ac,diff_2231_AF_LA_vs_27_SR_LA_c2.0_cond1.bed,NA,diff_2231_AF_LA_vs_27_SR_LA_c2.0_cond1.bed,NA,bed,diff_2231_AF_LA_vs_27_SR_LA_c2.0_cond1.bed
24,diff_2231_AF_LA_vs_45_SR_LA_c2.0_cond1.bed,diff_2231_AF_LA_vs_45_SR_LA_c2.0_cond1.bed,H3K27ac,diff_2231_AF_LA_vs_45_SR_LA_c2.0_cond1.bed,NA,diff_2231_AF_LA_vs_45_SR_LA_c2.0_cond1.bed,NA,bed,diff_2231_AF_LA_vs_45_SR_LA_c2.0_cond1.bed
25,diff_2231_AF_RA_vs_12b_SR_LA_c2.0_cond1.bed,diff_2231_AF_RA_vs_12b_SR_LA_c2.0_cond1.bed,H3K27ac,diff_2231_AF_RA_vs_12b_SR_LA_c2.0_cond1.bed,NA,diff_2231_AF_RA_vs_12b_SR_LA_c2.0_cond1.bed,NA,bed,diff_2231_AF_RA_vs_12b_SR_LA_c2.0_cond1.bed
26,diff_2231_AF_RA_vs_12b_SR_RA_c2.0_cond1.bed,diff_2231_AF_RA_vs_12b_SR_RA_c2.0_cond1.bed,H3K27ac,diff_2231_AF_RA_vs_12b_SR_RA_c2.0_cond1.bed,NA,diff_2231_AF_RA_vs_12b_SR_RA_c2.0_cond1.bed,NA,bed,diff_2231_AF_RA_vs_12b_SR_RA_c2.0_cond1.bed
27,diff_2231_AF_RA_vs_20_SR_LA_c2.0_cond1.bed,diff_2231_AF_RA_vs_20_SR_LA_c2.0_cond1.bed,H3K27ac,diff_2231_AF_RA_vs_20_SR_LA_c2.0_cond1.bed,NA,diff_2231_AF_RA_vs_20_SR_LA_c2.0_cond1.bed,NA,bed,diff_2231_AF_RA_vs_20_SR_LA_c2.0_cond1.bed
28,diff_2231_AF_RA_vs_20_SR_RA_c2.0_cond1.bed,diff_2231_AF_RA_vs_20_SR_RA_c2.0_cond1.bed,H3K27ac,diff_2231_AF_RA_vs_20_SR_RA_c2.0_cond1.bed,NA,diff_2231_AF_RA_vs_20_SR_RA_c2.0_cond1.bed,NA,bed,diff_2231_AF_RA_vs_20_SR_RA_c2.0_cond1.bed
29,diff_2231_AF_RA_vs_27_SR_LA_c2.0_cond1.bed,diff_2231_AF_RA_vs_27_SR_LA_c2.0_cond1.bed,H3K27ac,diff_2231_AF_RA_vs_27_SR_LA_c2.0_cond1.bed,NA,diff_2231_AF_RA_vs_27_SR_LA_c2.0_cond1.bed,NA,bed,diff_2231_AF_RA_vs_27_SR_LA_c2.0_cond1.bed
30,diff_2231_AF_RA_vs_27_SR_RA_c2.0_cond1.bed,diff_2231_AF_RA_vs_27_SR_RA_c2.0_cond1.bed,H3K27ac,diff_2231_AF_RA_vs_27_SR_RA_c2.0_cond1.bed,NA,diff_2231_AF_RA_vs_27_SR_RA_c2.0_cond1.bed,NA,bed,diff_2231_AF_RA_vs_27_SR_RA_c2.0_cond1.bed
31,diff_2231_AF_RA_vs_33_SR_RA_c2.0_cond1.bed,diff_2231_AF_RA_vs_33_SR_RA_c2.0_cond1.bed,H3K27ac,diff_2231_AF_RA_vs_33_SR_RA_c2.0_cond1.bed,NA,diff_2231_AF_RA_vs_33_SR_RA_c2.0_cond1.bed,NA,bed,diff_2231_AF_RA_vs_33_SR_RA_c2.0_cond1.bed
32,diff_2231_AF_RA_vs_45_SR_LA_c2.0_cond1.bed,diff_2231_AF_RA_vs_45_SR_LA_c2.0_cond1.bed,H3K27ac,diff_2231_AF_RA_vs_45_SR_LA_c2.0_cond1.bed,NA,diff_2231_AF_RA_vs_45_SR_LA_c2.0_cond1.bed,NA,bed,diff_2231_AF_RA_vs_45_SR_LA_c2.0_cond1.bed
33,diff_25_AF_LA_vs_12b_SR_LA_c2.0_cond1.bed,diff_25_AF_LA_vs_12b_SR_LA_c2.0_cond1.bed,H3K27ac,diff_25_AF_LA_vs_12b_SR_LA_c2.0_cond1.bed,NA,diff_25_AF_LA_vs_12b_SR_LA_c2.0_cond1.bed,NA,bed,diff_25_AF_LA_vs_12b_SR_LA_c2.0_cond1.bed
34,diff_25_AF_LA_vs_20_SR_LA_c2.0_cond1.bed,diff_25_AF_LA_vs_20_SR_LA_c2.0_cond1.bed,H3K27ac,diff_25_AF_LA_vs_20_SR_LA_c2.0_cond1.bed,NA,diff_25_AF_LA_vs_20_SR_LA_c2.0_cond1.bed,NA,bed,diff_25_AF_LA_vs_20_SR_LA_c2.0_cond1.bed
35,diff_25_AF_LA_vs_27_SR_LA_c2.0_cond1.bed,diff_25_AF_LA_vs_27_SR_LA_c2.0_cond1.bed,H3K27ac,diff_25_AF_LA_vs_27_SR_LA_c2.0_cond1.bed,NA,diff_25_AF_LA_vs_27_SR_LA_c2.0_cond1.bed,NA,bed,diff_25_AF_LA_vs_27_SR_LA_c2.0_cond1.bed
36,diff_25_AF_LA_vs_45_SR_LA_c2.0_cond1.bed,diff_25_AF_LA_vs_45_SR_LA_c2.0_cond1.bed,H3K27ac,diff_25_AF_LA_vs_45_SR_LA_c2.0_cond1.bed,NA,diff_25_AF_LA_vs_45_SR_LA_c2.0_cond1.bed,NA,bed,diff_25_AF_LA_vs_45_SR_LA_c2.0_cond1.bed
37,diff_25_AF_RA_vs_12b_SR_LA_c2.0_cond1.bed,diff_25_AF_RA_vs_12b_SR_LA_c2.0_cond1.bed,H3K27ac,diff_25_AF_RA_vs_12b_SR_LA_c2.0_cond1.bed,NA,diff_25_AF_RA_vs_12b_SR_LA_c2.0_cond1.bed,NA,bed,diff_25_AF_RA_vs_12b_SR_LA_c2.0_cond1.bed
38,diff_25_AF_RA_vs_12b_SR_RA_c2.0_cond1.bed,diff_25_AF_RA_vs_12b_SR_RA_c2.0_cond1.bed,H3K27ac,diff_25_AF_RA_vs_12b_SR_RA_c2.0_cond1.bed,NA,diff_25_AF_RA_vs_12b_SR_RA_c2.0_cond1.bed,NA,bed,diff_25_AF_RA_vs_12b_SR_RA_c2.0_cond1.bed
39,diff_25_AF_RA_vs_20_SR_LA_c2.0_cond1.bed,diff_25_AF_RA_vs_20_SR_LA_c2.0_cond1.bed,H3K27ac,diff_25_AF_RA_vs_20_SR_LA_c2.0_cond1.bed,NA,diff_25_AF_RA_vs_20_SR_LA_c2.0_cond1.bed,NA,bed,diff_25_AF_RA_vs_20_SR_LA_c2.0_cond1.bed
40,diff_25_AF_RA_vs_20_SR_RA_c2.0_cond1.bed,diff_25_AF_RA_vs_20_SR_RA_c2.0_cond1.bed,H3K27ac,diff_25_AF_RA_vs_20_SR_RA_c2.0_cond1.bed,NA,diff_25_AF_RA_vs_20_SR_RA_c2.0_cond1.bed,NA,bed,diff_25_AF_RA_vs_20_SR_RA_c2.0_cond1.bed
41,diff_25_AF_RA_vs_27_SR_LA_c2.0_cond1.bed,diff_25_AF_RA_vs_27_SR_LA_c2.0_cond1.bed,H3K27ac,diff_25_AF_RA_vs_27_SR_LA_c2.0_cond1.bed,NA,diff_25_AF_RA_vs_27_SR_LA_c2.0_cond1.bed,NA,bed,diff_25_AF_RA_vs_27_SR_LA_c2.0_cond1.bed
