,SampleID,Tissue,Factor,Condition,bamReads,ControlID,bamControl,PeakCaller,Peaks
17,diff_2231_AF_RA_vs_12b_SR_LA_c2.0_cond2.bed,diff_2231_AF_RA_vs_12b_SR_LA_c2.0_cond2.bed,H3K27ac,diff_2231_AF_RA_vs_12b_SR_LA_c2.0_cond2.bed,NA,diff_2231_AF_RA_vs_12b_SR_LA_c2.0_cond2.bed,NA,bed,diff_2231_AF_RA_vs_12b_SR_LA_c2.0_cond2.bed
18,diff_2231_AF_RA_vs_20_SR_LA_c2.0_cond2.bed,diff_2231_AF_RA_vs_20_SR_LA_c2.0_cond2.bed,H3K27ac,diff_2231_AF_RA_vs_20_SR_LA_c2.0_cond2.bed,NA,diff_2231_AF_RA_vs_20_SR_LA_c2.0_cond2.bed,NA,bed,diff_2231_AF_RA_vs_20_SR_LA_c2.0_cond2.bed
19,diff_2231_AF_RA_vs_27_SR_LA_c2.0_cond2.bed,diff_2231_AF_RA_vs_27_SR_LA_c2.0_cond2.bed,H3K27ac,diff_2231_AF_RA_vs_27_SR_LA_c2.0_cond2.bed,NA,diff_2231_AF_RA_vs_27_SR_LA_c2.0_cond2.bed,NA,bed,diff_2231_AF_RA_vs_27_SR_LA_c2.0_cond2.bed
20,diff_2231_AF_RA_vs_45_SR_LA_c2.0_cond2.bed,diff_2231_AF_RA_vs_45_SR_LA_c2.0_cond2.bed,H3K27ac,diff_2231_AF_RA_vs_45_SR_LA_c2.0_cond2.bed,NA,diff_2231_AF_RA_vs_45_SR_LA_c2.0_cond2.bed,NA,bed,diff_2231_AF_RA_vs_45_SR_LA_c2.0_cond2.bed
21,diff_25_AF_LA_vs_12b_SR_LA_c2.0_cond2.bed,diff_25_AF_LA_vs_12b_SR_LA_c2.0_cond2.bed,H3K27ac,diff_25_AF_LA_vs_12b_SR_LA_c2.0_cond2.bed,NA,diff_25_AF_LA_vs_12b_SR_LA_c2.0_cond2.bed,NA,bed,diff_25_AF_LA_vs_12b_SR_LA_c2.0_cond2.bed
22,diff_25_AF_LA_vs_20_SR_LA_c2.0_cond2.bed,diff_25_AF_LA_vs_20_SR_LA_c2.0_cond2.bed,H3K27ac,diff_25_AF_LA_vs_20_SR_LA_c2.0_cond2.bed,NA,diff_25_AF_LA_vs_20_SR_LA_c2.0_cond2.bed,NA,bed,diff_25_AF_LA_vs_20_SR_LA_c2.0_cond2.bed
23,diff_25_AF_LA_vs_27_SR_LA_c2.0_cond2.bed,diff_25_AF_LA_vs_27_SR_LA_c2.0_cond2.bed,H3K27ac,diff_25_AF_LA_vs_27_SR_LA_c2.0_cond2.bed,NA,diff_25_AF_LA_vs_27_SR_LA_c2.0_cond2.bed,NA,bed,diff_25_AF_LA_vs_27_SR_LA_c2.0_cond2.bed
24,diff_25_AF_LA_vs_45_SR_LA_c2.0_cond2.bed,diff_25_AF_LA_vs_45_SR_LA_c2.0_cond2.bed,H3K27ac,diff_25_AF_LA_vs_45_SR_LA_c2.0_cond2.bed,NA,diff_25_AF_LA_vs_45_SR_LA_c2.0_cond2.bed,NA,bed,diff_25_AF_LA_vs_45_SR_LA_c2.0_cond2.bed
25,diff_25_AF_RA_vs_12b_SR_LA_c2.0_cond2.bed,diff_25_AF_RA_vs_12b_SR_LA_c2.0_cond2.bed,H3K27ac,diff_25_AF_RA_vs_12b_SR_LA_c2.0_cond2.bed,NA,diff_25_AF_RA_vs_12b_SR_LA_c2.0_cond2.bed,NA,bed,diff_25_AF_RA_vs_12b_SR_LA_c2.0_cond2.bed
26,diff_25_AF_RA_vs_20_SR_LA_c2.0_cond2.bed,diff_25_AF_RA_vs_20_SR_LA_c2.0_cond2.bed,H3K27ac,diff_25_AF_RA_vs_20_SR_LA_c2.0_cond2.bed,NA,diff_25_AF_RA_vs_20_SR_LA_c2.0_cond2.bed,NA,bed,diff_25_AF_RA_vs_20_SR_LA_c2.0_cond2.bed
27,diff_25_AF_RA_vs_27_SR_LA_c2.0_cond2.bed,diff_25_AF_RA_vs_27_SR_LA_c2.0_cond2.bed,H3K27ac,diff_25_AF_RA_vs_27_SR_LA_c2.0_cond2.bed,NA,diff_25_AF_RA_vs_27_SR_LA_c2.0_cond2.bed,NA,bed,diff_25_AF_RA_vs_27_SR_LA_c2.0_cond2.bed
28,diff_25_AF_RA_vs_45_SR_LA_c2.0_cond2.bed,diff_25_AF_RA_vs_45_SR_LA_c2.0_cond2.bed,H3K27ac,diff_25_AF_RA_vs_45_SR_LA_c2.0_cond2.bed,NA,diff_25_AF_RA_vs_45_SR_LA_c2.0_cond2.bed,NA,bed,diff_25_AF_RA_vs_45_SR_LA_c2.0_cond2.bed
29,diff_27_SR_RA_vs_12b_SR_LA_c2.0_cond2.bed,diff_27_SR_RA_vs_12b_SR_LA_c2.0_cond2.bed,H3K27ac,diff_27_SR_RA_vs_12b_SR_LA_c2.0_cond2.bed,NA,diff_27_SR_RA_vs_12b_SR_LA_c2.0_cond2.bed,NA,bed,diff_27_SR_RA_vs_12b_SR_LA_c2.0_cond2.bed
30,diff_27_SR_RA_vs_20_SR_LA_c2.0_cond2.bed,diff_27_SR_RA_vs_20_SR_LA_c2.0_cond2.bed,H3K27ac,diff_27_SR_RA_vs_20_SR_LA_c2.0_cond2.bed,NA,diff_27_SR_RA_vs_20_SR_LA_c2.0_cond2.bed,NA,bed,diff_27_SR_RA_vs_20_SR_LA_c2.0_cond2.bed
31,diff_27_SR_RA_vs_27_SR_LA_c2.0_cond2.bed,diff_27_SR_RA_vs_27_SR_LA_c2.0_cond2.bed,H3K27ac,diff_27_SR_RA_vs_27_SR_LA_c2.0_cond2.bed,NA,diff_27_SR_RA_vs_27_SR_LA_c2.0_cond2.bed,NA,bed,diff_27_SR_RA_vs_27_SR_LA_c2.0_cond2.bed
32,diff_27_SR_RA_vs_45_SR_LA_c2.0_cond2.bed,diff_27_SR_RA_vs_45_SR_LA_c2.0_cond2.bed,H3K27ac,diff_27_SR_RA_vs_45_SR_LA_c2.0_cond2.bed,NA,diff_27_SR_RA_vs_45_SR_LA_c2.0_cond2.bed,NA,bed,diff_27_SR_RA_vs_45_SR_LA_c2.0_cond2.bed
33,diff_28_AF_LA_vs_12b_SR_LA_c2.0_cond2.bed,diff_28_AF_LA_vs_12b_SR_LA_c2.0_cond2.bed,H3K27ac,diff_28_AF_LA_vs_12b_SR_LA_c2.0_cond2.bed,NA,diff_28_AF_LA_vs_12b_SR_LA_c2.0_cond2.bed,NA,bed,diff_28_AF_LA_vs_12b_SR_LA_c2.0_cond2.bed
34,diff_28_AF_LA_vs_20_SR_LA_c2.0_cond2.bed,diff_28_AF_LA_vs_20_SR_LA_c2.0_cond2.bed,H3K27ac,diff_28_AF_LA_vs_20_SR_LA_c2.0_cond2.bed,NA,diff_28_AF_LA_vs_20_SR_LA_c2.0_cond2.bed,NA,bed,diff_28_AF_LA_vs_20_SR_LA_c2.0_cond2.bed
35,diff_28_AF_LA_vs_27_SR_LA_c2.0_cond2.bed,diff_28_AF_LA_vs_27_SR_LA_c2.0_cond2.bed,H3K27ac,diff_28_AF_LA_vs_27_SR_LA_c2.0_cond2.bed,NA,diff_28_AF_LA_vs_27_SR_LA_c2.0_cond2.bed,NA,bed,diff_28_AF_LA_vs_27_SR_LA_c2.0_cond2.bed
36,diff_28_AF_LA_vs_45_SR_LA_c2.0_cond2.bed,diff_28_AF_LA_vs_45_SR_LA_c2.0_cond2.bed,H3K27ac,diff_28_AF_LA_vs_45_SR_LA_c2.0_cond2.bed,NA,diff_28_AF_LA_vs_45_SR_LA_c2.0_cond2.bed,NA,bed,diff_28_AF_LA_vs_45_SR_LA_c2.0_cond2.bed
37,diff_28_AF_RA_vs_12b_SR_LA_c2.0_cond2.bed,diff_28_AF_RA_vs_12b_SR_LA_c2.0_cond2.bed,H3K27ac,diff_28_AF_RA_vs_12b_SR_LA_c2.0_cond2.bed,NA,diff_28_AF_RA_vs_12b_SR_LA_c2.0_cond2.bed,NA,bed,diff_28_AF_RA_vs_12b_SR_LA_c2.0_cond2.bed
38,diff_28_AF_RA_vs_20_SR_LA_c2.0_cond2.bed,diff_28_AF_RA_vs_20_SR_LA_c2.0_cond2.bed,H3K27ac,diff_28_AF_RA_vs_20_SR_LA_c2.0_cond2.bed,NA,diff_28_AF_RA_vs_20_SR_LA_c2.0_cond2.bed,NA,bed,diff_28_AF_RA_vs_20_SR_LA_c2.0_cond2.bed
39,diff_28_AF_RA_vs_27_SR_LA_c2.0_cond2.bed,diff_28_AF_RA_vs_27_SR_LA_c2.0_cond2.bed,H3K27ac,diff_28_AF_RA_vs_27_SR_LA_c2.0_cond2.bed,NA,diff_28_AF_RA_vs_27_SR_LA_c2.0_cond2.bed,NA,bed,diff_28_AF_RA_vs_27_SR_LA_c2.0_cond2.bed
40,diff_28_AF_RA_vs_45_SR_LA_c2.0_cond2.bed,diff_28_AF_RA_vs_45_SR_LA_c2.0_cond2.bed,H3K27ac,diff_28_AF_RA_vs_45_SR_LA_c2.0_cond2.bed,NA,diff_28_AF_RA_vs_45_SR_LA_c2.0_cond2.bed,NA,bed,diff_28_AF_RA_vs_45_SR_LA_c2.0_cond2.bed
41,diff_31_AF_LA_vs_12b_SR_LA_c2.0_cond2.bed,diff_31_AF_LA_vs_12b_SR_LA_c2.0_cond2.bed,H3K27ac,diff_31_AF_LA_vs_12b_SR_LA_c2.0_cond2.bed,NA,diff_31_AF_LA_vs_12b_SR_LA_c2.0_cond2.bed,NA,bed,diff_31_AF_LA_vs_12b_SR_LA_c2.0_cond2.bed
42,diff_31_AF_LA_vs_20_SR_LA_c2.0_cond2.bed,diff_31_AF_LA_vs_20_SR_LA_c2.0_cond2.bed,H3K27ac,diff_31_AF_LA_vs_20_SR_LA_c2.0_cond2.bed,NA,diff_31_AF_LA_vs_20_SR_LA_c2.0_cond2.bed,NA,bed,diff_31_AF_LA_vs_20_SR_LA_c2.0_cond2.bed
43,diff_31_AF_LA_vs_27_SR_LA_c2.0_cond2.bed,diff_31_AF_LA_vs_27_SR_LA_c2.0_cond2.bed,H3K27ac,diff_31_AF_LA_vs_27_SR_LA_c2.0_cond2.bed,NA,diff_31_AF_LA_vs_27_SR_LA_c2.0_cond2.bed,NA,bed,diff_31_AF_LA_vs_27_SR_LA_c2.0_cond2.bed
44,diff_31_AF_LA_vs_45_SR_LA_c2.0_cond2.bed,diff_31_AF_LA_vs_45_SR_LA_c2.0_cond2.bed,H3K27ac,diff_31_AF_LA_vs_45_SR_LA_c2.0_cond2.bed,NA,diff_31_AF_LA_vs_45_SR_LA_c2.0_cond2.bed,NA,bed,diff_31_AF_LA_vs_45_SR_LA_c2.0_cond2.bed
45,diff_31_AF_RA_vs_12b_SR_LA_c2.0_cond2.bed,diff_31_AF_RA_vs_12b_SR_LA_c2.0_cond2.bed,H3K27ac,diff_31_AF_RA_vs_12b_SR_LA_c2.0_cond2.bed,NA,diff_31_AF_RA_vs_12b_SR_LA_c2.0_cond2.bed,NA,bed,diff_31_AF_RA_vs_12b_SR_LA_c2.0_cond2.bed
46,diff_31_AF_RA_vs_20_SR_LA_c2.0_cond2.bed,diff_31_AF_RA_vs_20_SR_LA_c2.0_cond2.bed,H3K27ac,diff_31_AF_RA_vs_20_SR_LA_c2.0_cond2.bed,NA,diff_31_AF_RA_vs_20_SR_LA_c2.0_cond2.bed,NA,bed,diff_31_AF_RA_vs_20_SR_LA_c2.0_cond2.bed
47,diff_31_AF_RA_vs_27_SR_LA_c2.0_cond2.bed,diff_31_AF_RA_vs_27_SR_LA_c2.0_cond2.bed,H3K27ac,diff_31_AF_RA_vs_27_SR_LA_c2.0_cond2.bed,NA,diff_31_AF_RA_vs_27_SR_LA_c2.0_cond2.bed,NA,bed,diff_31_AF_RA_vs_27_SR_LA_c2.0_cond2.bed
48,diff_31_AF_RA_vs_45_SR_LA_c2.0_cond2.bed,diff_31_AF_RA_vs_45_SR_LA_c2.0_cond2.bed,H3K27ac,diff_31_AF_RA_vs_45_SR_LA_c2.0_cond2.bed,NA,diff_31_AF_RA_vs_45_SR_LA_c2.0_cond2.bed,NA,bed,diff_31_AF_RA_vs_45_SR_LA_c2.0_cond2.bed
49,diff_313_AF_LA_vs_12b_SR_LA_c2.0_cond2.bed,diff_313_AF_LA_vs_12b_SR_LA_c2.0_cond2.bed,H3K27ac,diff_313_AF_LA_vs_12b_SR_LA_c2.0_cond2.bed,NA,diff_313_AF_LA_vs_12b_SR_LA_c2.0_cond2.bed,NA,bed,diff_313_AF_LA_vs_12b_SR_LA_c2.0_cond2.bed
50,diff_313_AF_LA_vs_20_SR_LA_c2.0_cond2.bed,diff_313_AF_LA_vs_20_SR_LA_c2.0_cond2.bed,H3K27ac,diff_313_AF_LA_vs_20_SR_LA_c2.0_cond2.bed,NA,diff_313_AF_LA_vs_20_SR_LA_c2.0_cond2.bed,NA,bed,diff_313_AF_LA_vs_20_SR_LA_c2.0_cond2.bed
51,diff_313_AF_LA_vs_27_SR_LA_c2.0_cond2.bed,diff_313_AF_LA_vs_27_SR_LA_c2.0_cond2.bed,H3K27ac,diff_313_AF_LA_vs_27_SR_LA_c2.0_cond2.bed,NA,diff_313_AF_LA_vs_27_SR_LA_c2.0_cond2.bed,NA,bed,diff_313_AF_LA_vs_27_SR_LA_c2.0_cond2.bed
52,diff_313_AF_LA_vs_45_SR_LA_c2.0_cond2.bed,diff_313_AF_LA_vs_45_SR_LA_c2.0_cond2.bed,H3K27ac,diff_313_AF_LA_vs_45_SR_LA_c2.0_cond2.bed,NA,diff_313_AF_LA_vs_45_SR_LA_c2.0_cond2.bed,NA,bed,diff_313_AF_LA_vs_45_SR_LA_c2.0_cond2.bed
53,diff_313_AF_RA_vs_12b_SR_LA_c2.0_cond2.bed,diff_313_AF_RA_vs_12b_SR_LA_c2.0_cond2.bed,H3K27ac,diff_313_AF_RA_vs_12b_SR_LA_c2.0_cond2.bed,NA,diff_313_AF_RA_vs_12b_SR_LA_c2.0_cond2.bed,NA,bed,diff_313_AF_RA_vs_12b_SR_LA_c2.0_cond2.bed
54,diff_313_AF_RA_vs_20_SR_LA_c2.0_cond2.bed,diff_313_AF_RA_vs_20_SR_LA_c2.0_cond2.bed,H3K27ac,diff_313_AF_RA_vs_20_SR_LA_c2.0_cond2.bed,NA,diff_313_AF_RA_vs_20_SR_LA_c2.0_cond2.bed,NA,bed,diff_313_AF_RA_vs_20_SR_LA_c2.0_cond2.bed
55,diff_313_AF_RA_vs_27_SR_LA_c2.0_cond2.bed,diff_313_AF_RA_vs_27_SR_LA_c2.0_cond2.bed,H3K27ac,diff_313_AF_RA_vs_27_SR_LA_c2.0_cond2.bed,NA,diff_313_AF_RA_vs_27_SR_LA_c2.0_cond2.bed,NA,bed,diff_313_AF_RA_vs_27_SR_LA_c2.0_cond2.bed
56,diff_313_AF_RA_vs_45_SR_LA_c2.0_cond2.bed,diff_313_AF_RA_vs_45_SR_LA_c2.0_cond2.bed,H3K27ac,diff_313_AF_RA_vs_45_SR_LA_c2.0_cond2.bed,NA,diff_313_AF_RA_vs_45_SR_LA_c2.0_cond2.bed,NA,bed,diff_313_AF_RA_vs_45_SR_LA_c2.0_cond2.bed
57,diff_33_SR_RA_vs_12b_SR_LA_c2.0_cond2.bed,diff_33_SR_RA_vs_12b_SR_LA_c2.0_cond2.bed,H3K27ac,diff_33_SR_RA_vs_12b_SR_LA_c2.0_cond2.bed,NA,diff_33_SR_RA_vs_12b_SR_LA_c2.0_cond2.bed,NA,bed,diff_33_SR_RA_vs_12b_SR_LA_c2.0_cond2.bed
58,diff_33_SR_RA_vs_20_SR_LA_c2.0_cond2.bed,diff_33_SR_RA_vs_20_SR_LA_c2.0_cond2.bed,H3K27ac,diff_33_SR_RA_vs_20_SR_LA_c2.0_cond2.bed,NA,diff_33_SR_RA_vs_20_SR_LA_c2.0_cond2.bed,NA,bed,diff_33_SR_RA_vs_20_SR_LA_c2.0_cond2.bed
59,diff_33_SR_RA_vs_27_SR_LA_c2.0_cond2.bed,diff_33_SR_RA_vs_27_SR_LA_c2.0_cond2.bed,H3K27ac,diff_33_SR_RA_vs_27_SR_LA_c2.0_cond2.bed,NA,diff_33_SR_RA_vs_27_SR_LA_c2.0_cond2.bed,NA,bed,diff_33_SR_RA_vs_27_SR_LA_c2.0_cond2.bed
60,diff_33_SR_RA_vs_45_SR_LA_c2.0_cond2.bed,diff_33_SR_RA_vs_45_SR_LA_c2.0_cond2.bed,H3K27ac,diff_33_SR_RA_vs_45_SR_LA_c2.0_cond2.bed,NA,diff_33_SR_RA_vs_45_SR_LA_c2.0_cond2.bed,NA,bed,diff_33_SR_RA_vs_45_SR_LA_c2.0_cond2.bed
61,diff_47_AF_LA_vs_12b_SR_LA_c2.0_cond2.bed,diff_47_AF_LA_vs_12b_SR_LA_c2.0_cond2.bed,H3K27ac,diff_47_AF_LA_vs_12b_SR_LA_c2.0_cond2.bed,NA,diff_47_AF_LA_vs_12b_SR_LA_c2.0_cond2.bed,NA,bed,diff_47_AF_LA_vs_12b_SR_LA_c2.0_cond2.bed
62,diff_47_AF_LA_vs_20_SR_LA_c2.0_cond2.bed,diff_47_AF_LA_vs_20_SR_LA_c2.0_cond2.bed,H3K27ac,diff_47_AF_LA_vs_20_SR_LA_c2.0_cond2.bed,NA,diff_47_AF_LA_vs_20_SR_LA_c2.0_cond2.bed,NA,bed,diff_47_AF_LA_vs_20_SR_LA_c2.0_cond2.bed
63,diff_47_AF_LA_vs_27_SR_LA_c2.0_cond2.bed,diff_47_AF_LA_vs_27_SR_LA_c2.0_cond2.bed,H3K27ac,diff_47_AF_LA_vs_27_SR_LA_c2.0_cond2.bed,NA,diff_47_AF_LA_vs_27_SR_LA_c2.0_cond2.bed,NA,bed,diff_47_AF_LA_vs_27_SR_LA_c2.0_cond2.bed
64,diff_47_AF_LA_vs_45_SR_LA_c2.0_cond2.bed,diff_47_AF_LA_vs_45_SR_LA_c2.0_cond2.bed,H3K27ac,diff_47_AF_LA_vs_45_SR_LA_c2.0_cond2.bed,NA,diff_47_AF_LA_vs_45_SR_LA_c2.0_cond2.bed,NA,bed,diff_47_AF_LA_vs_45_SR_LA_c2.0_cond2.bed
