,Pos,Cp,Marker,Sample,Avg_Ct,stdv,Norm_input,Relative_enrichment_normInpt,Norm_GAPDH,Relative_enrichment_normGAPDH,Norm_GAPDH_Input,RelEnrich_Norm_GAPDH_Input
61,A1,25.44,GAPDH,Sample1,25.26,0.320468407,-1.706666667,,,,,
62,A2,25.45,GAPDH,Sample1,,,,,,,,
63,B1,24.89,GAPDH,Sample1,,,,,,,,
64,C3,26.54,GAPDH,Sample10,26.28666667,0.37166293,-1.083333333,,,,,
65,C4,26.46,GAPDH,Sample10,,,,,,,,
66,D3,25.86,GAPDH,Sample10,,,,,,,,
67,C1,26.49,GAPDH,Sample2,26.26333333,0.341955163,-0.14,,,,,
68,C2,26.43,GAPDH,Sample2,,,,,,,,
69,D1,25.87,GAPDH,Sample2,,,,,,,,
70,E1,26.79,GAPDH,Sample3,26.43666667,0.664630223,-1.166666667,,,,,
71,E2,26.85,GAPDH,Sample3,,,,,,,,
72,F1,25.67,GAPDH,Sample3,,,,,,,,
73,G1,25.55,GAPDH,Sample4,25.07,0.501198563,-2.67,,,,,
74,G2,25.11,GAPDH,Sample4,,,,,,,,
75,H1,24.55,GAPDH,Sample4,,,,,,,,
76,I1,27.47,GAPDH,Sample5,26.12,0.846404159,-1.55,,,,,
77,I2,26.45,GAPDH,Sample5,,,,,,,,
78,J1,25.79,GAPDH,Sample5,,,,,,,,
79,K1,27.88,GAPDH,Sample6,27.81666667,0.369098,0.096666667,,,,,
80,K2,28.15,GAPDH,Sample6,,,,,,,,
81,L1,27.42,GAPDH,Sample6,,,,,,,,
82,M1,27.67,GAPDH,Sample7,27.22666667,0.595343038,0.426666667,,,,,
83,M2,27.46,GAPDH,Sample7,,,,,,,,
84,N1,26.55,GAPDH,Sample7,,,,,,,,
85,O1,27.78,GAPDH,Sample8,27.48,0.316069613,-0.553333333,,,,,
86,O2,27.51,GAPDH,Sample8,,,,,,,,
87,P1,27.15,GAPDH,Sample8,,,,,,,,
88,A3,25.75,GAPDH,Sample9,25.47333333,0.445009363,-3.89,,,,,
89,A4,25.71,GAPDH,Sample9,,,,,,,,
90,B3,24.96,GAPDH,Sample9,,,,,,,,
91,E3,27.47,GAPDH,SampleI1,26.96666667,0.520800666,,,,,,
92,E4,27,GAPDH,SampleI1,,,,,,,,
93,F3,26.43,GAPDH,SampleI1,,,,,,,,
94,G5,27.58,GAPDH,SampleI10,27.37,0.259422435,,,,,,
95,G6,27.45,GAPDH,SampleI10,,,,,,,,
96,H5,27.08,GAPDH,SampleI10,,,,,,,,
97,G3,26.81,GAPDH,SampleI2,26.40333333,0.525483904,,,,,,
98,G4,26.59,GAPDH,SampleI2,,,,,,,,
99,H3,25.81,GAPDH,SampleI2,,,,,,,,
100,I3,28.02,GAPDH,SampleI3,27.60333333,0.527667825,,,,,,
101,I4,27.78,GAPDH,SampleI3,,,,,,,,
102,J3,27.01,GAPDH,SampleI3,,,,,,,,
103,K3,28,GAPDH,SampleI4,27.74,0.230651252,,,,,,
104,K4,27.66,GAPDH,SampleI4,,,,,,,,
105,L3,27.56,GAPDH,SampleI4,,,,,,,,
106,M3,28.1,GAPDH,SampleI5,27.67,0.481352262,,,,,,
107,M4,27.76,GAPDH,SampleI5,,,,,,,,
108,N3,27.15,GAPDH,SampleI5,,,,,,,,
109,O3,28.83,GAPDH,SampleI6,27.72,0.691592365,,,,,,
110,O4,27.98,GAPDH,SampleI6,,,,,,,,
111,P3,27.46,GAPDH,SampleI6,,,,,,,,
112,A5,26.88,GAPDH,SampleI7,26.8,0.174355958,,,,,,
113,A6,26.92,GAPDH,SampleI7,,,,,,,,
114,B5,26.6,GAPDH,SampleI7,,,,,,,,
115,C5,28.25,GAPDH,SampleI8,28.03333333,0.202072594,,,,,,
116,C6,28,GAPDH,SampleI8,,,,,,,,
117,D5,27.85,GAPDH,SampleI8,,,,,,,,
118,E5,29.48,GAPDH,SampleI9,29.36333333,0.340342964,,,,,,
119,E6,29.63,GAPDH,SampleI9,,,,,,,,
120,F5,28.98,GAPDH,SampleI9,,,,,,,,
1,I15,32.65,BLM_SRLA617,Sample1,31.37,0.897904969,1.303333333,0.405188931,6.11,0.014477938,3.01,0.124136562
2,I16,31.88,BLM_SRLA617,Sample1,,,,,,,,
3,J15,30.86,BLM_SRLA617,Sample1,,,,,,,,
4,K17,31.81,BLM_SRLA617,Sample10,31.7,0.253574447,1.3,0.406126198,5.413333333,0.023465202,2.383333333,0.191666043
5,K18,31.88,BLM_SRLA617,Sample10,,,,,,,,
6,L17,31.41,BLM_SRLA617,Sample10,,,,,,,,
7,K15,31.42,BLM_SRLA617,Sample2,31.15,0.29816103,2.01,0.248273124,4.886666667,0.033803896,2.15,0.225312616
8,K16,31.2,BLM_SRLA617,Sample2,,,,,,,,
9,L15,30.83,BLM_SRLA617,Sample2,,,,,,,,
10,M15,32.05,BLM_SRLA617,Sample3,31.96,0.182482876,1.75,0.297301779,5.523333333,0.021742576,2.916666667,0.132432887
11,M16,32.08,BLM_SRLA617,Sample3,,,,,,,,
12,N15,31.75,BLM_SRLA617,Sample3,,,,,,,,
13,O15,30.98,BLM_SRLA617,Sample4,30.24333333,0.667108187,-0.403333333,1.322560146,5.173333333,0.027712231,2.266666667,0.207809474
14,O16,30.07,BLM_SRLA617,Sample4,,,,,,,,
15,P15,29.68,BLM_SRLA617,Sample4,,,,,,,,
