,Pos,Cp,Marker,Sample,Avg_Ct,stdv,Norm_input,Relative_enrichment_normInpt,Norm_GAPDH,Relative_enrichment_normGAPDH,Norm_GAPDH_Input,RelEnrich_Norm_GAPDH_Input
1,A1,25.85,GAPDH,Sample1,25.64,0.193132079,,,,,,
2,A2,25.6,GAPDH,Sample1,,,,,,,,
3,B1,25.47,GAPDH,Sample1,,,,,,,,
4,C3,29.33,GAPDH,Sample10,29.15333333,0.272090671,,,,,,
5,C4,29.29,GAPDH,Sample10,,,,,,,,
6,D3,28.84,GAPDH,Sample10,,,,,,,,
7,C1,27.66,GAPDH,Sample2,27.43,0.293087018,,,,,,
8,C2,27.53,GAPDH,Sample2,,,,,,,,
9,D1,27.1,GAPDH,Sample2,,,,,,,,
10,E1,27.61,GAPDH,Sample3,27.30333333,0.268576494,,,,,,
11,E2,27.19,GAPDH,Sample3,,,,,,,,
12,F1,27.11,GAPDH,Sample3,,,,,,,,
13,G1,26.26,GAPDH,Sample4,26.00666667,0.355715242,,,,,,
14,G2,26.16,GAPDH,Sample4,,,,,,,,
15,H1,25.6,GAPDH,Sample4,,,,,,,,
16,I1,26.87,GAPDH,Sample5,26.63333333,0.359212101,,,,,,
17,I2,26.81,GAPDH,Sample5,,,,,,,,
18,J1,26.22,GAPDH,Sample5,,,,,,,,
19,K1,27.46,GAPDH,Sample6,27.35666667,0.19655364,,,,,,
20,K2,27.48,GAPDH,Sample6,,,,,,,,
21,L1,27.13,GAPDH,Sample6,,,,,,,,
22,M1,28.24,GAPDH,Sample7,28.16666667,0.20984121,,,,,,
23,M2,28.33,GAPDH,Sample7,,,,,,,,
24,N1,27.93,GAPDH,Sample7,,,,,,,,
25,O1,28.89,GAPDH,Sample8,28.45333333,0.38370996,,,,,,
26,O2,28.3,GAPDH,Sample8,,,,,,,,
27,P1,28.17,GAPDH,Sample8,,,,,,,,
28,A3,26.24,GAPDH,Sample9,26.20333333,0.035118846,,,,,,
29,A4,26.17,GAPDH,Sample9,,,,,,,,
30,B3,26.2,GAPDH,Sample9,,,,,,,,
31,E3,26.87,GAPDH,SampleI1,26.72666667,0.206478409,,,,,,
32,E4,26.82,GAPDH,SampleI1,,,,,,,,
33,F3,26.49,GAPDH,SampleI1,,,,,,,,
34,G5,27.33,GAPDH,SampleI10,26.86666667,0.57726366,,,,,,
35,G6,27.05,GAPDH,SampleI10,,,,,,,,
36,H5,26.22,GAPDH,SampleI10,,,,,,,,
37,G3,27.29,GAPDH,SampleI2,27.1,0.185202592,,,,,,
38,G4,27.09,GAPDH,SampleI2,,,,,,,,
39,H3,26.92,GAPDH,SampleI2,,,,,,,,
40,I3,26.9,GAPDH,SampleI3,26.76,0.163707055,,,,,,
41,I4,26.8,GAPDH,SampleI3,,,,,,,,
42,J3,26.58,GAPDH,SampleI3,,,,,,,,
43,K3,30.57,GAPDH,SampleI4,30.06666667,0.481698384,,,,,,
44,K4,30.02,GAPDH,SampleI4,,,,,,,,
45,L3,29.61,GAPDH,SampleI4,,,,,,,,
46,M3,28.94,GAPDH,SampleI5,28.97333333,0.075718778,,,,,,
47,M4,28.92,GAPDH,SampleI5,,,,,,,,
48,N3,29.06,GAPDH,SampleI5,,,,,,,,
49,O3,28.43,GAPDH,SampleI6,28.41,0.072111026,,,,,,
50,O4,28.33,GAPDH,SampleI6,,,,,,,,
51,P3,28.47,GAPDH,SampleI6,,,,,,,,
52,A5,28.43,GAPDH,SampleI7,28.31666667,0.126622799,,,,,,
53,A6,28.34,GAPDH,SampleI7,,,,,,,,
54,B5,28.18,GAPDH,SampleI7,,,,,,,,
55,C5,27.93,GAPDH,SampleI8,27.74666667,0.22898326,,,,,,
56,C6,27.82,GAPDH,SampleI8,,,,,,,,
57,D5,27.49,GAPDH,SampleI8,,,,,,,,
58,E5,27.82,GAPDH,SampleI9,27.78333333,0.197568554,,,,,,
59,E6,27.96,GAPDH,SampleI9,,,,,,,,
60,F5,27.57,GAPDH,SampleI9,,,,,,,,
61,I5,28.09,NR2F1_B,Sample1,27.79,0.572363521,1.56,0.339151082,2.15,0.225312616,2.646666667,0.159688612
62,I6,28.15,NR2F1_B,Sample1,,,,,,,,
63,J5,27.13,NR2F1_B,Sample1,,,,,,,,
64,K7,28.11,NR2F1_B,Sample10,27.99333333,0.210792157,1.86,0.275476279,-1.16,2.234574276,-0.426666667,1.3441244
65,K8,28.12,NR2F1_B,Sample10,,,,,,,,
66,L7,27.75,NR2F1_B,Sample10,,,,,,,,
67,K5,29.87,NR2F1_B,Sample2,29.45666667,0.529370696,4.23,0.053289681,2.026666667,0.245421464,3.9,0.066985841
68,K6,29.64,NR2F1_B,Sample2,,,,,,,,
69,L5,28.86,NR2F1_B,Sample2,,,,,,,,
70,M5,28.21,NR2F1_B,Sample3,28.13666667,0.494098506,1.343333333,0.394109018,0.833333333,0.561231024,0.8,0.574349177
71,M6,28.59,NR2F1_B,Sample3,,,,,,,,
72,N5,27.61,NR2F1_B,Sample3,,,,,,,,
73,O5,27.75,NR2F1_B,Sample4,27.45333333,0.438216081,1.18,0.441351498,1.446666667,0.366868091,5.24,0.026460791
74,O6,27.66,NR2F1_B,Sample4,,,,,,,,
75,P5,26.95,NR2F1_B,Sample4,,,,,,,,
76,A7,28.01,NR2F1_B,Sample5,27.89,0.225388553,1.416666667,0.374576769,1.256666667,0.418509806,3.756666667,0.073982781
77,A8,28.03,NR2F1_B,Sample5,,,,,,,,
78,B7,27.63,NR2F1_B,Sample5,,,,,,,,
79,C7,28.98,NR2F1_B,Sample6,29.06333333,0.127410099,2.32,0.200267469,1.706666667,0.306367111,3.373333333,0.096499593
80,C8,29.21,NR2F1_B,Sample6,,,,,,,,
81,D7,29,NR2F1_B,Sample6,,,,,,,,
82,E7,30.06,NR2F1_B,Sample7,29.92333333,0.364737348,2.936666667,0.130609644,1.756666667,0.295931122,3.086666667,0.117712002
83,E8,30.2,NR2F1_B,Sample7,,,,,,,,
84,F7,29.51,NR2F1_B,Sample7,,,,,,,,
85,G7,29.84,NR2F1_B,Sample8,29.75333333,0.232450712,2.886666667,0.135215583,1.3,0.406126198,2.18,0.220675749
86,G8,29.93,NR2F1_B,Sample8,,,,,,,,
87,H7,29.49,NR2F1_B,Sample8,,,,,,,,
88,I7,27.24,NR2F1_B,Sample9,27.22,0.340440891,0.47,0.721964598,1.016666667,0.49425701,2.05,0.241484082
89,I8,27.55,NR2F1_B,Sample9,,,,,,,,
90,J7,26.87,NR2F1_B,Sample9,,,,,,,,
91,M7,26.55,NR2F1_B,SampleI1,26.23,0.470319041,,,-0.496666667,1.410949807,,
92,M8,26.45,NR2F1_B,SampleI1,,,,,,,,
93,N7,25.69,NR2F1_B,SampleI1,,,,,,,,
94,O9,26.31,NR2F1_B,SampleI10,26.13333333,0.204042479,,,-0.733333333,1.662475792,,
95,O10,26.18,NR2F1_B,SampleI10,,,,,,,,
96,P9,25.91,NR2F1_B,SampleI10,,,,,,,,
97,O7,25.45,NR2F1_B,SampleI2,25.22666667,0.220075745,,,-1.873333333,3.663781161,,
98,O8,25.22,NR2F1_B,SampleI2,,,,,,,,
99,P7,25.01,NR2F1_B,SampleI2,,,,,,,,
100,A9,26.97,NR2F1_B,SampleI3,26.79333333,0.159478316,,,0.033333333,0.977159968,,
101,A10,26.75,NR2F1_B,SampleI3,,,,,,,,
102,B9,26.66,NR2F1_B,SampleI3,,,,,,,,
103,C9,26.52,NR2F1_B,SampleI4,26.27333333,0.360185138,,,-3.793333333,13.86459273,,
104,C10,26.44,NR2F1_B,SampleI4,,,,,,,,
105,D9,25.86,NR2F1_B,SampleI4,,,,,,,,
106,E9,26.58,NR2F1_B,SampleI5,26.47333333,0.193476958,,,-2.5,5.656854249,,
107,E10,26.59,NR2F1_B,SampleI5,,,,,,,,
108,F9,26.25,NR2F1_B,SampleI5,,,,,,,,
109,G9,27,NR2F1_B,SampleI6,26.74333333,0.353600528,,,-1.666666667,3.174802104,,
110,G10,26.89,NR2F1_B,SampleI6,,,,,,,,
111,H9,26.34,NR2F1_B,SampleI6,,,,,,,,
112,I9,27.09,NR2F1_B,SampleI7,26.98666667,0.161967075,,,-1.33,2.514026749,,
113,I10,27.07,NR2F1_B,SampleI7,,,,,,,,
114,J9,26.8,NR2F1_B,SampleI7,,,,,,,,
115,K9,27.33,NR2F1_B,SampleI8,26.86666667,0.556087523,,,-0.88,1.840375301,,
116,K10,27.02,NR2F1_B,SampleI8,,,,,,,,
117,L9,26.25,NR2F1_B,SampleI8,,,,,,,,
118,M9,26.85,NR2F1_B,SampleI9,26.75,0.227156334,,,-1.033333333,2.046747784,,
119,M10,26.91,NR2F1_B,SampleI9,,,,,,,,
120,N9,26.49,NR2F1_B,SampleI9,,,,,,,,
121,A11,29.02,STRN,Sample1,28.92333333,0.090737717,-0.646666667,1.565546833,3.283333333,0.102711289,0.44,0.737134609
122,A12,28.84,STRN,Sample1,,,,,,,,
123,B11,28.91,STRN,Sample1,,,,,,,,
124,C13,30.66,STRN,Sample10,30.84333333,0.25146239,1.733333333,0.300756259,1.69,0.309926925,-0.553333333,1.467472363
125,C14,31.13,STRN,Sample10,,,,,,,,
126,D13,30.74,STRN,Sample10,,,,,,,,
127,C11,30.26,STRN,Sample2,30.22666667,0.113724814,3.136666667,0.113702299,2.796666667,0.143919435,2.806666667,0.142925311
128,C12,30.32,STRN,Sample2,,,,,,,,
129,D11,30.1,STRN,Sample2,,,,,,,,
130,E11,30.31,STRN,Sample3,30.20666667,0.270246801,0.563333333,0.676736762,2.903333333,0.1336625,0.02,0.986232704
131,E12,29.9,STRN,Sample3,,,,,,,,
132,F11,30.41,STRN,Sample3,,,,,,,,
133,G11,29.43,STRN,Sample4,29.28,0.242693222,-0.696666667,1.620755722,3.273333333,0.103425703,3.363333333,0.097170801
134,G12,29.41,STRN,Sample4,,,,,,,,
135,H11,29,STRN,Sample4,,,,,,,,
136,I11,30.84,STRN,Sample5,31.04,0.337786915,1.983333333,0.25290486,4.406666667,0.04714777,4.323333333,0.049951322
137,I12,31.43,STRN,Sample5,,,,,,,,
138,J11,30.85,STRN,Sample5,,,,,,,,
139,K11,33.02,STRN,Sample6,33.57666667,0.797266162,3.806666667,0.071462655,6.22,0.013415085,4.86,0.034434535
140,K12,34.49,STRN,Sample6,,,,,,,,
141,L11,33.22,STRN,Sample6,,,,,,,,
142,M11,31.51,STRN,Sample7,31.41,0.156204994,3.8,0.071793647,3.243333333,0.105598897,3.95,0.064704058
143,M12,31.49,STRN,Sample7,,,,,,,,
144,N11,31.23,STRN,Sample7,,,,,,,,
145,O11,32.83,STRN,Sample8,32.51333333,0.274651294,2.79,0.144586023,4.06,0.059954007,2.083333333,0.235968578
146,O12,32.37,STRN,Sample8,,,,,,,,
147,P11,32.34,STRN,Sample8,,,,,,,,
148,A13,30.01,STRN,Sample9,29.99,0.052915026,0.1,0.933032992,3.786666667,0.072460237,1.68,0.312082637
149,A14,30.03,STRN,Sample9,,,,,,,,
150,B13,29.93,STRN,Sample9,,,,,,,,
151,E13,29.56,STRN,SampleI1,29.57,0.125299641,,,2.843333333,0.13933858,,
152,E14,29.7,STRN,SampleI1,,,,,,,,
153,F13,29.45,STRN,SampleI1,,,,,,,,
154,G15,29.27,STRN,SampleI10,29.11,0.211660105,,,2.243333333,0.211197793,,
155,G16,29.19,STRN,SampleI10,,,,,,,,
156,H15,28.87,STRN,SampleI10,,,,,,,,
157,G13,27.13,STRN,SampleI2,27.09,0.105830052,,,-0.01,1.00695555,,
158,G14,27.17,STRN,SampleI2,,,,,,,,
159,H13,26.97,STRN,SampleI2,,,,,,,,
160,I13,29.85,STRN,SampleI3,29.64333333,0.192180471,,,2.883333333,0.135528359,,
161,I14,29.61,STRN,SampleI3,,,,,,,,
162,J13,29.47,STRN,SampleI3,,,,,,,,
163,K13,30.23,STRN,SampleI4,29.97666667,0.245424802,,,-0.09,1.064370182,,
164,K14,29.96,STRN,SampleI4,,,,,,,,
165,L13,29.74,STRN,SampleI4,,,,,,,,
166,M13,29.19,STRN,SampleI5,29.05666667,0.159478316,,,0.083333333,0.943874313,,
167,M14,29.1,STRN,SampleI5,,,,,,,,
168,N13,28.88,STRN,SampleI5,,,,,,,,
169,O13,29.75,STRN,SampleI6,29.77,0.101488916,,,1.36,0.38958229,,
170,O14,29.68,STRN,SampleI6,,,,,,,,
171,P13,29.88,STRN,SampleI6,,,,,,,,
172,A15,27.85,STRN,SampleI7,27.61,0.207846097,,,-0.706666667,1.63202897,,
173,A16,27.49,STRN,SampleI7,,,,,,,,
174,B15,27.49,STRN,SampleI7,,,,,,,,
175,C15,29.68,STRN,SampleI8,29.72333333,0.040414519,,,1.976666667,0.254076233,,
176,C16,29.76,STRN,SampleI8,,,,,,,,
177,D15,29.73,STRN,SampleI8,,,,,,,,
178,E15,29.99,STRN,SampleI9,29.89,0.08660254,,,2.106666667,0.232182853,,
179,E16,29.84,STRN,SampleI9,,,,,,,,
180,F15,29.84,STRN,SampleI9,,,,,,,,
181,I15,28.02,VASH1_B,Sample1,27.84,0.269629375,-0.8,1.741101127,2.2,0.217637641,0.286666667,0.819793998
182,I16,27.97,VASH1_B,Sample1,,,,,,,,
183,J15,27.53,VASH1_B,Sample1,,,,,,,,
184,K17,28.89,VASH1_B,Sample10,28.82333333,0.189032625,0.206666667,0.866537046,-0.33,1.257013375,-2.08,4.228072162
185,K18,28.97,VASH1_B,Sample10,,,,,,,,
186,L17,28.61,VASH1_B,Sample10,,,,,,,,
187,K15,29.46,VASH1_B,Sample2,29.2,0.301164407,1.823333333,0.282567347,1.77,0.293208737,1.493333333,0.355190935
188,K16,29.27,VASH1_B,Sample2,,,,,,,,
189,L15,28.87,VASH1_B,Sample2,,,,,,,,
190,M15,29.27,VASH1_B,Sample3,29.09666667,0.155349069,-0.6,1.515716567,1.793333333,0.288504688,-1.143333333,2.208908001
191,M16,29.05,VASH1_B,Sample3,,,,,,,,
192,N15,28.97,VASH1_B,Sample3,,,,,,,,
193,O15,27.83,VASH1_B,Sample4,27.62666667,0.200083316,-1.35,2.549121255,1.62,0.325335464,2.71,0.152830035
194,O16,27.62,VASH1_B,Sample4,,,,,,,,
195,P15,27.43,VASH1_B,Sample4,,,,,,,,
196,A17,28.82,VASH1_B,Sample5,28.73333333,0.075055535,1.056666667,0.480741526,2.1,0.233258248,3.396666667,0.094951417
197,A18,28.69,VASH1_B,Sample5,,,,,,,,
198,B17,28.69,VASH1_B,Sample5,,,,,,,,
199,C17,29.8,VASH1_B,Sample6,29.92333333,0.130511813,2.963333333,0.12821764,2.566666667,0.168793743,4.016666667,0.061782126
200,C18,30.06,VASH1_B,Sample6,,,,,,,,
201,D17,29.91,VASH1_B,Sample6,,,,,,,,
202,E17,29.51,VASH1_B,Sample7,29.29,0.236431808,2.156666667,0.224273852,1.123333333,0.45903201,2.306666667,0.202126913
203,E18,29.32,VASH1_B,Sample7,,,,,,,,
204,F17,29.04,VASH1_B,Sample7,,,,,,,,
205,G17,30.48,VASH1_B,Sample8,30.15,0.440340777,1.4,0.378929142,1.696666667,0.308498062,0.693333333,0.618423337
206,G18,30.32,VASH1_B,Sample8,,,,,,,,
207,H17,29.65,VASH1_B,Sample8,,,,,,,,
208,I17,28.51,VASH1_B,Sample9,28.43333333,0.159478316,-0.576666667,1.4913994,2.23,0.213158723,1.003333333,0.498846088
209,I18,28.54,VASH1_B,Sample9,,,,,,,,
210,J17,28.25,VASH1_B,Sample9,,,,,,,,
211,M17,28.83,VASH1_B,SampleI1,28.64,0.329089653,,,1.913333333,0.265478451,,
212,M18,28.83,VASH1_B,SampleI1,,,,,,,,
213,N17,28.26,VASH1_B,SampleI1,,,,,,,,
214,O19,28.69,VASH1_B,SampleI10,28.61666667,0.127017059,,,1.75,0.297301779,,
215,O20,28.69,VASH1_B,SampleI10,,,,,,,,
216,P19,28.47,VASH1_B,SampleI10,,,,,,,,
217,O17,27.46,VASH1_B,SampleI2,27.37666667,0.207926269,,,0.276666667,0.825496117,,
218,O18,27.53,VASH1_B,SampleI2,,,,,,,,
219,P17,27.14,VASH1_B,SampleI2,,,,,,,,
220,A19,30.14,VASH1_B,SampleI3,29.69666667,0.410406303,,,2.936666667,0.130609644,,
221,A20,29.62,VASH1_B,SampleI3,,,,,,,,
222,B19,29.33,VASH1_B,SampleI3,,,,,,,,
223,C19,29.27,VASH1_B,SampleI4,28.97666667,0.295014124,,,-1.09,2.128740365,,
224,C20,28.98,VASH1_B,SampleI4,,,,,,,,
225,D19,28.68,VASH1_B,SampleI4,,,,,,,,
226,E19,27.79,VASH1_B,SampleI5,27.67666667,0.196299092,,,-1.296666667,2.456606299,,
227,E20,27.79,VASH1_B,SampleI5,,,,,,,,
228,F19,27.45,VASH1_B,SampleI5,,,,,,,,
229,G19,27.09,VASH1_B,SampleI6,26.96,0.269629375,,,-1.45,2.732080514,,
230,G20,27.14,VASH1_B,SampleI6,,,,,,,,
231,H19,26.65,VASH1_B,SampleI6,,,,,,,,
232,I19,27.24,VASH1_B,SampleI7,27.13333333,0.193476958,,,-1.183333333,2.271008858,,
233,I20,27.25,VASH1_B,SampleI7,,,,,,,,
234,J19,26.91,VASH1_B,SampleI7,,,,,,,,
235,K19,28.89,VASH1_B,SampleI8,28.75,0.370405184,,,1.003333333,0.498846088,,
236,K20,29.03,VASH1_B,SampleI8,,,,,,,,
237,L19,28.33,VASH1_B,SampleI8,,,,,,,,
238,M19,29.14,VASH1_B,SampleI9,29.01,0.153948043,,,1.226666667,0.427303587,,
239,M20,29.05,VASH1_B,SampleI9,,,,,,,,
240,N19,28.84,VASH1_B,SampleI9,,,,,,,,
