,Pos,Cp,Marker,Sample,Avg_Ct,stdv,Norm_input,Relative_enrichment_normInpt,Norm_GAPDH,Relative_enrichment_normGAPDH,Norm_GAPDH_Input,RelEnrich_Norm_GAPDH_Input
229,G9,27.84,SLC43A3,SampleI6,27.40333333,0.408697117,,,-0.296666667,1.228303149,,
230,G10,27.34,SLC43A3,SampleI6,,,,,,,,
231,H9,27.03,SLC43A3,SampleI6,,,,,,,,
232,I9,26.48,SLC43A3,SampleI7,26.19333333,0.30664855,,,-1.09,2.128740365,,
233,I10,26.23,SLC43A3,SampleI7,,,,,,,,
234,J9,25.87,SLC43A3,SampleI7,,,,,,,,
235,K9,27.1,SLC43A3,SampleI8,27.03666667,0.183393929,,,-1.996666667,3.990768706,,
236,K10,27.18,SLC43A3,SampleI8,,,,,,,,
237,L9,26.83,SLC43A3,SampleI8,,,,,,,,
238,M9,27.8,SLC43A3,SampleI9,27.62666667,0.512477642,,,-0.473333333,1.38831345,,
239,M10,28.03,SLC43A3,SampleI9,,,,,,,,
240,N9,27.05,SLC43A3,SampleI9,,,,,,,,
