,Pos,Cp,Marker,Sample,Avg_Ct,stdv,Norm_input,Relative_enrichment_normInpt,Norm_GAPDH,Relative_enrichment_normGAPDH,Norm_GAPDH_Input,RelEnrich_Norm_GAPDH_Input
121,A1,25.98,GAPDH,Sample1,25.87,0.09539392,,,,,,
122,A2,25.82,GAPDH,Sample1,,,,,,,,
123,B1,25.81,GAPDH,Sample1,,,,,,,,
124,C3,26.43,GAPDH,Sample10,26.11333333,0.315013227,,,,,,
125,C4,26.11,GAPDH,Sample10,,,,,,,,
126,D3,25.8,GAPDH,Sample10,,,,,,,,
127,C1,27.16,GAPDH,Sample2,27.09,0.16643317,,,,,,
128,C2,27.21,GAPDH,Sample2,,,,,,,,
129,D1,26.9,GAPDH,Sample2,,,,,,,,
130,E1,27.02,GAPDH,Sample3,26.95,0.07,,,,,,
131,E2,26.95,GAPDH,Sample3,,,,,,,,
132,F1,26.88,GAPDH,Sample3,,,,,,,,
133,G1,25.91,GAPDH,Sample4,25.68666667,0.201080415,,,,,,
134,G2,25.63,GAPDH,Sample4,,,,,,,,
135,H1,25.52,GAPDH,Sample4,,,,,,,,
136,I1,26.94,GAPDH,Sample5,26.61,0.440340777,,,,,,
137,I2,26.78,GAPDH,Sample5,,,,,,,,
138,J1,26.11,GAPDH,Sample5,,,,,,,,
139,K1,27.74,GAPDH,Sample6,27.74666667,0.130128142,,,,,,
140,K2,27.88,GAPDH,Sample6,,,,,,,,
141,L1,27.62,GAPDH,Sample6,,,,,,,,
142,M1,28.06,GAPDH,Sample7,28.03666667,0.032145503,,,,,,
143,M2,28.05,GAPDH,Sample7,,,,,,,,
144,N1,28,GAPDH,Sample7,,,,,,,,
145,O1,28.49,GAPDH,Sample8,28.70666667,0.215019379,,,,,,
146,O2,28.71,GAPDH,Sample8,,,,,,,,
147,P1,28.92,GAPDH,Sample8,,,,,,,,
148,A3,26.17,GAPDH,Sample9,26.01666667,0.138684294,,,,,,
149,A4,25.98,GAPDH,Sample9,,,,,,,,
150,B3,25.9,GAPDH,Sample9,,,,,,,,
151,E3,26.83,GAPDH,SampleI1,26.72,0.127671453,,,,,,
152,E4,26.75,GAPDH,SampleI1,,,,,,,,
153,F3,26.58,GAPDH,SampleI1,,,,,,,,
154,G5,27.42,GAPDH,SampleI10,27.11333333,0.30022214,,,,,,
155,G6,27.1,GAPDH,SampleI10,,,,,,,,
156,H5,26.82,GAPDH,SampleI10,,,,,,,,
157,G3,27.05,GAPDH,SampleI2,26.76333333,0.295352896,,,,,,
158,G4,26.78,GAPDH,SampleI2,,,,,,,,
159,H3,26.46,GAPDH,SampleI2,,,,,,,,
160,I3,27.59,GAPDH,SampleI3,27.3,0.46808119,,,,,,
161,I4,27.55,GAPDH,SampleI3,,,,,,,,
162,J3,26.76,GAPDH,SampleI3,,,,,,,,
163,K3,27.98,GAPDH,SampleI4,28.02,0.052915026,,,,,,
164,K4,28,GAPDH,SampleI4,,,,,,,,
165,L3,28.08,GAPDH,SampleI4,,,,,,,,
166,M3,27.61,GAPDH,SampleI5,27.46,0.277308492,,,,,,
167,M4,27.63,GAPDH,SampleI5,,,,,,,,
168,N3,27.14,GAPDH,SampleI5,,,,,,,,
169,O3,27.96,GAPDH,SampleI6,27.7,0.230651252,,,,,,
170,O4,27.62,GAPDH,SampleI6,,,,,,,,
171,P3,27.52,GAPDH,SampleI6,,,,,,,,
172,A5,27.44,GAPDH,SampleI7,27.28333333,0.137961347,,,,,,
173,A6,27.23,GAPDH,SampleI7,,,,,,,,
174,B5,27.18,GAPDH,SampleI7,,,,,,,,
175,C5,29.25,GAPDH,SampleI8,29.03333333,0.225462488,,,,,,
176,C6,29.05,GAPDH,SampleI8,,,,,,,,
177,D5,28.8,GAPDH,SampleI8,,,,,,,,
178,E5,28.21,GAPDH,SampleI9,28.1,0.11,,,,,,
179,E6,28.1,GAPDH,SampleI9,,,,,,,,
180,F5,27.99,GAPDH,SampleI9,,,,,,,,
1,I15,28.95,FGF1,Sample1,28.49666667,0.597187854,0.716666667,0.608501757,2.626666667,0.161917781,1.566666667,0.337587487
2,I16,28.72,FGF1,Sample1,,,,,,,,
3,J15,27.82,FGF1,Sample1,,,,,,,,
4,K17,29.96,FGF1,Sample10,29.86666667,0.179257729,1.603333333,0.32911568,3.753333333,0.074153915,2.603333333,0.16455784
5,K18,29.98,FGF1,Sample10,,,,,,,,
6,L17,29.66,FGF1,Sample10,,,,,,,,
7,K15,28.72,FGF1,Sample2,28.65666667,0.056862407,1.246666667,0.421420772,1.566666667,0.337587487,0.92,0.52850902
8,K16,28.64,FGF1,Sample2,,,,,,,,
9,L15,28.61,FGF1,Sample2,,,,,,,,
10,M15,29.33,FGF1,Sample3,29.41,0.376430604,1.373333333,0.385998372,2.46,0.181746565,1.723333333,0.302848184
11,M16,29.82,FGF1,Sample3,,,,,,,,
12,N15,29.08,FGF1,Sample3,,,,,,,,
13,O15,27.91,FGF1,Sample4,27.94666667,0.346458271,-0.653333333,1.572797936,2.26,0.20877198,1.68,0.312082637
14,O16,28.31,FGF1,Sample4,,,,,,,,
15,P15,27.62,FGF1,Sample4,,,,,,,,
16,A17,28.88,FGF1,Sample5,28.83,0.160934769,1.1,0.466516496,2.22,0.214641359,1.95,0.258816231
17,A18,28.96,FGF1,Sample5,,,,,,,,
18,B17,28.65,FGF1,Sample5,,,,,,,,
19,C17,30.34,FGF1,Sample6,30.5,0.155241747,1.903333333,0.267325,2.753333333,0.148307829,1.856666667,0.2761135
20,C18,30.51,FGF1,Sample6,,,,,,,,
21,D17,30.65,FGF1,Sample6,,,,,,,,
22,E17,30.83,FGF1,Sample7,30.42333333,0.352183664,2.906666667,0.13335403,2.386666667,0.191223712,2.153333333,0.224792634
23,E18,30.22,FGF1,Sample7,,,,,,,,
24,F17,30.22,FGF1,Sample7,,,,,,,,
25,G17,32.12,FGF1,Sample8,31.58333333,0.47648015,3.283333333,0.102711289,2.876666667,0.136156082,3.61,0.081899588
26,G18,31.42,FGF1,Sample8,,,,,,,,
27,H17,31.21,FGF1,Sample8,,,,,,,,
28,I17,29.44,FGF1,Sample9,29.04666667,0.42253205,-0.163333333,1.119871604,3.03,0.122427537,1.92,0.26425451
29,I18,29.1,FGF1,Sample9,,,,,,,,
30,J17,28.6,FGF1,Sample9,,,,,,,,
31,M17,27.94,FGF1,SampleI1,27.78,0.13892444,,,1.06,0.47963206,,
32,M18,27.69,FGF1,SampleI1,,,,,,,,
33,N17,27.71,FGF1,SampleI1,,,,,,,,
34,O19,28.29,FGF1,SampleI10,28.26333333,0.055075705,,,1.15,0.450625231,,
35,O20,28.3,FGF1,SampleI10,,,,,,,,
36,P19,28.2,FGF1,SampleI10,,,,,,,,
37,O17,27.43,FGF1,SampleI2,27.41,0.13114877,,,0.646666667,0.638754446,,
38,O18,27.53,FGF1,SampleI2,,,,,,,,
39,P17,27.27,FGF1,SampleI2,,,,,,,,
40,A19,28.29,FGF1,SampleI3,28.03666667,0.265769324,,,0.736666667,0.600124333,,
41,A20,28.06,FGF1,SampleI3,,,,,,,,
42,B19,27.76,FGF1,SampleI3,,,,,,,,
43,C19,28.72,FGF1,SampleI4,28.6,0.15132746,,,0.58,0.668963777,,
44,C20,28.65,FGF1,SampleI4,,,,,,,,
45,D19,28.43,FGF1,SampleI4,,,,,,,,
46,E19,27.81,FGF1,SampleI5,27.73,0.091651514,,,0.27,0.829319546,,
47,E20,27.75,FGF1,SampleI5,,,,,,,,
48,F19,27.63,FGF1,SampleI5,,,,,,,,
49,G19,28.84,FGF1,SampleI6,28.59666667,0.215483951,,,0.896666667,0.537126324,,
50,G20,28.52,FGF1,SampleI6,,,,,,,,
51,H19,28.43,FGF1,SampleI6,,,,,,,,
52,I19,27.84,FGF1,SampleI7,27.51666667,0.414045086,,,0.233333333,0.850667161,,
53,I20,27.66,FGF1,SampleI7,,,,,,,,
54,J19,27.05,FGF1,SampleI7,,,,,,,,
55,K19,28.43,FGF1,SampleI8,28.3,0.147309199,,,-0.733333333,1.662475792,,
56,K20,28.14,FGF1,SampleI8,,,,,,,,
57,L19,28.33,FGF1,SampleI8,,,,,,,,
58,M19,29.02,FGF1,SampleI9,29.21,0.329089653,,,1.11,0.463294031,,
59,M20,29.59,FGF1,SampleI9,,,,,,,,
60,N19,29.02,FGF1,SampleI9,,,,,,,,
61,A11,26.95,FOXS1,Sample1,26.83666667,0.126622799,-0.366666667,1.289370308,0.966666667,0.511686946,0.483333333,0.715322966
62,A12,26.86,FOXS1,Sample1,,,,,,,,
63,B11,26.7,FOXS1,Sample1,,,,,,,,
64,C13,27.61,FOXS1,Sample10,27.62,0.065574385,0.453333333,0.730353422,1.506666667,0.351923396,1.453333333,0.365176711
65,C14,27.69,FOXS1,Sample10,,,,,,,,
66,D13,27.56,FOXS1,Sample10,,,,,,,,
67,C11,28.16,FOXS1,Sample2,27.95333333,0.32393415,1.043333333,0.485205116,0.863333333,0.549681057,0.716666667,0.608501757
68,C12,28.12,FOXS1,Sample2,,,,,,,,
69,D11,27.58,FOXS1,Sample2,,,,,,,,
70,E11,28.58,FOXS1,Sample3,28.24666667,0.288675135,0.82,0.566441943,1.296666667,0.407065634,1.17,0.444421341
71,E12,28.08,FOXS1,Sample3,,,,,,,,
72,F11,28.08,FOXS1,Sample3,,,,,,,,
73,G11,27.53,FOXS1,Sample4,27.12666667,0.390683162,-1.206666667,2.308037504,1.44,0.368567304,1.126666667,0.457972645
74,G12,27.1,FOXS1,Sample4,,,,,,,,
75,H11,26.75,FOXS1,Sample4,,,,,,,,
76,I11,27.42,FOXS1,Sample5,27.37666667,0.287460142,0.12,0.920187651,0.766666667,0.587773953,0.97,0.510506063
77,I12,27.64,FOXS1,Sample5,,,,,,,,
78,J11,27.07,FOXS1,Sample5,,,,,,,,
79,K11,29.13,FOXS1,Sample6,29.31333333,0.180092569,1.4,0.378929142,1.566666667,0.337587487,1.353333333,0.391386708
80,K12,29.49,FOXS1,Sample6,,,,,,,,
81,L11,29.32,FOXS1,Sample6,,,,,,,,
82,M11,29.28,FOXS1,Sample7,28.9,0.407308237,1.933333333,0.261823531,0.863333333,0.549681057,1.18,0.441351498
83,M12,28.95,FOXS1,Sample7,,,,,,,,
84,N11,28.47,FOXS1,Sample7,,,,,,,,
85,O11,29.88,FOXS1,Sample8,29.86666667,0.023094011,1.93,0.262429171,1.16,0.447512535,2.256666667,0.209254903
86,O12,29.84,FOXS1,Sample8,,,,,,,,
87,P11,29.88,FOXS1,Sample8,,,,,,,,
88,A13,26.96,FOXS1,Sample9,26.85333333,0.105039675,-1.72,3.294364069,0.836666667,0.559935802,0.363333333,0.777366405
89,A14,26.85,FOXS1,Sample9,,,,,,,,
90,B13,26.75,FOXS1,Sample9,,,,,,,,
91,E13,27.5,FOXS1,SampleI1,27.20333333,0.30005555,,,0.483333333,0.715322966,,
92,E14,27.21,FOXS1,SampleI1,,,,,,,,
93,F13,26.9,FOXS1,SampleI1,,,,,,,,
94,G15,27.58,FOXS1,SampleI10,27.16666667,0.366787859,,,0.053333333,0.963707118,,
95,G16,27.04,FOXS1,SampleI10,,,,,,,,
96,H15,26.88,FOXS1,SampleI10,,,,,,,,
97,G13,27.16,FOXS1,SampleI2,26.91,0.260576284,,,0.146666667,0.903335201,,
98,G14,26.93,FOXS1,SampleI2,,,,,,,,
99,H13,26.64,FOXS1,SampleI2,,,,,,,,
100,I13,27.79,FOXS1,SampleI3,27.42666667,0.481905938,,,0.126666667,0.91594529,,
101,I14,27.61,FOXS1,SampleI3,,,,,,,,
102,J13,26.88,FOXS1,SampleI3,,,,,,,,
103,K13,28.31,FOXS1,SampleI4,28.33333333,0.186100331,,,0.313333333,0.804780172,,
104,K14,28.16,FOXS1,SampleI4,,,,,,,,
105,L13,28.53,FOXS1,SampleI4,,,,,,,,
106,M13,27.43,FOXS1,SampleI5,27.25666667,0.353459097,,,-0.203333333,1.15135548,,
107,M14,27.49,FOXS1,SampleI5,,,,,,,,
108,N13,26.85,FOXS1,SampleI5,,,,,,,,
109,O13,27.95,FOXS1,SampleI6,27.91333333,0.316596483,,,0.213333333,0.862542032,,
110,O14,28.21,FOXS1,SampleI6,,,,,,,,
111,P13,27.58,FOXS1,SampleI6,,,,,,,,
112,A15,27,FOXS1,SampleI7,26.96666667,0.04163332,,,-0.316666667,1.245449622,,
113,A16,26.98,FOXS1,SampleI7,,,,,,,,
114,B15,26.92,FOXS1,SampleI7,,,,,,,,
115,C15,28.08,FOXS1,SampleI8,27.93666667,0.176162803,,,-1.096666667,2.138599997,,
116,C16,27.99,FOXS1,SampleI8,,,,,,,,
117,D15,27.74,FOXS1,SampleI8,,,,,,,,
118,E15,28.73,FOXS1,SampleI9,28.57333333,0.140118997,,,0.473333333,0.720298431,,
119,E16,28.53,FOXS1,SampleI9,,,,,,,,
120,F15,28.46,FOXS1,SampleI9,,,,,,,,
181,I5,26.64,SLC43A3,Sample1,25.90333333,1.003809411,-0.83,1.777685362,0.033333333,0.977159968,0.02,0.986232704
182,I6,26.31,SLC43A3,Sample1,,,,,,,,
183,J5,24.76,SLC43A3,Sample1,,,,,,,,
184,K7,26.85,SLC43A3,Sample10,26.84333333,0.080208063,1.02,0.493116352,0.73,0.602903914,2.02,0.246558176
185,K8,26.92,SLC43A3,Sample10,,,,,,,,
186,L7,26.76,SLC43A3,Sample10,,,,,,,,
187,K5,27.2,SLC43A3,Sample2,27.01,0.164620776,0.586666667,0.66587964,-0.08,1.057018041,0.26,0.835087919
188,K6,26.92,SLC43A3,Sample2,,,,,,,,
189,L5,26.91,SLC43A3,Sample2,,,,,,,,
190,M5,27.56,SLC43A3,Sample3,27.39666667,0.3453018,1.046666667,0.484085348,0.446666667,0.733736182,1.396666667,0.379805666
191,M6,27.63,SLC43A3,Sample3,,,,,,,,
192,N5,27,SLC43A3,Sample3,,,,,,,,
193,O5,26.86,SLC43A3,Sample4,26.57333333,0.453908948,-0.93,1.905275996,0.886666667,0.540862333,1.403333333,0.37805464
194,O6,26.81,SLC43A3,Sample4,,,,,,,,
195,P5,26.05,SLC43A3,Sample4,,,,,,,,
196,A7,26.89,SLC43A3,Sample5,26.79,0.12489996,0.336666667,0.791868805,0.18,0.882702996,1.186666667,0.439316726
197,A8,26.83,SLC43A3,Sample5,,,,,,,,
198,B7,26.65,SLC43A3,Sample5,,,,,,,,
199,C7,29.02,SLC43A3,Sample6,28.91,0.149331845,1.506666667,0.351923396,1.163333333,0.446479756,1.46,0.363493129
200,C8,28.97,SLC43A3,Sample6,,,,,,,,
201,D7,28.74,SLC43A3,Sample6,,,,,,,,
202,E7,28.61,SLC43A3,Sample7,28.45333333,0.254230866,2.26,0.20877198,0.416666667,0.749153538,1.506666667,0.351923396
203,E8,28.59,SLC43A3,Sample7,,,,,,,,
204,F7,28.16,SLC43A3,Sample7,,,,,,,,
205,G7,29.63,SLC43A3,Sample8,29.12333333,0.442869431,2.086666667,0.235424004,0.416666667,0.749153538,2.413333333,0.187721613
206,G8,28.93,SLC43A3,Sample8,,,,,,,,
207,H7,28.81,SLC43A3,Sample8,,,,,,,,
208,I7,27.28,SLC43A3,Sample9,26.82333333,0.657292426,-0.803333333,1.745128575,0.806666667,0.571701243,1.28,0.411795509
209,I8,27.12,SLC43A3,Sample9,,,,,,,,
210,J7,26.07,SLC43A3,Sample9,,,,,,,,
211,M7,26.75,SLC43A3,SampleI1,26.73333333,0.185562209,,,0.013333333,0.990800613,,
212,M8,26.91,SLC43A3,SampleI1,,,,,,,,
213,N7,26.54,SLC43A3,SampleI1,,,,,,,,
214,O9,25.85,SLC43A3,SampleI10,25.82333333,0.181475435,,,-1.29,2.445280555,,
215,O10,25.99,SLC43A3,SampleI10,,,,,,,,
216,P9,25.63,SLC43A3,SampleI10,,,,,,,,
217,O7,26.59,SLC43A3,SampleI2,26.42333333,0.315013227,,,-0.34,1.265756594,,
218,O8,26.62,SLC43A3,SampleI2,,,,,,,,
219,P7,26.06,SLC43A3,SampleI2,,,,,,,,
220,A9,26.35,SLC43A3,SampleI3,26.35,0.08,,,-0.95,1.931872658,,
221,A10,26.43,SLC43A3,SampleI3,,,,,,,,
222,B9,26.27,SLC43A3,SampleI3,,,,,,,,
223,C9,27.52,SLC43A3,SampleI4,27.50333333,0.16563011,,,-0.516666667,1.430645932,,
224,C10,27.66,SLC43A3,SampleI4,,,,,,,,
225,D9,27.33,SLC43A3,SampleI4,,,,,,,,
226,E9,26.72,SLC43A3,SampleI5,26.45333333,0.347754703,,,-1.006666667,2.009263349,,
227,E10,26.58,SLC43A3,SampleI5,,,,,,,,
228,F9,26.06,SLC43A3,SampleI5,,,,,,,,
